Time (min);Intensity (cps)
0,0024;43700000
0,0102;2860000
0,018;1900000
0,0258;2360000
0,0336;1840000
0,0414;1830000
0,0493;2470000
0,0571;1710000
0,065;2140000
0,0727;1820000
0,0807;2350000
0,0886;1910000
0,0965;1690000
0,1043;1560000
0,1122;1400000
0,1201;1330000
0,1281;1810000
0,1361;1570000
0,1441;1520000
0,1521;1540000
0,1602;1670000
0,1681;1310000
0,1761;1920000
0,1839;2890000
0,1916;3000000
0,1992;3340000
0,2067;4380000
0,2143;4490000
0,2218;4140000
0,2294;4360000
0,237;4060000
0,2445;3670000
0,2521;5190000
0,2596;3890000
0,2671;3320000
0,2747;5660000
0,2822;3970000
0,2898;4910000
0,2973;4160000
0,3048;5080000
0,3123;6650000
0,3198;4390000
0,3274;5510000
0,3349;4350000
0,3424;4560000
0,3499;3620000
0,3575;3250000
0,365;3190000
0,3726;3230000
0,3802;3820000
0,3877;5020000
0,3953;3260000
0,4029;2880000
0,4105;3440000
0,4181;3430000
0,4256;3540000
0,4333;3070000
0,4409;3340000
0,4485;2680000
0,4561;2460000
0,4637;3020000
0,4713;2400000
0,4789;4620000
0,4864;10200000
0,4939;52800000
0,5015;202000000
0,5092;256000000
0,5169;401000000
0,5246;478000000
0,5323;315000000
0,5399;198000000
0,5475;142000000
0,5551;164000000
0,5628;168000000
0,5705;295000000
0,5781;352000000
0,5858;322000000
0,5934;200000000
0,601;136000000
0,6086;83200000
0,6161;50300000
0,6237;115000000
0,6317;658000000
0,6397;617000000
0,6474;239000000
0,655;88600000
0,6625;50000000
0,67;42300000
0,6776;41800000
0,6851;30800000
0,6926;32800000
0,7001;26300000
0,7076;23900000
0,7151;19000000
0,7226;19200000
0,7301;20900000
0,7376;26800000
0,7451;31200000
0,7526;24800000
0,7601;18000000
0,7676;21300000
0,7751;18100000
0,7826;19100000
0,7901;17700000
0,7976;20900000
0,8051;23200000
0,8126;19600000
0,8201;17800000
0,8276;18500000
0,8351;16800000
0,8426;16900000
0,8501;17900000
0,8576;17800000
0,8652;18800000
0,8727;13800000
0,8802;18900000
0,8877;18900000
0,8952;21400000
0,9027;22200000
0,9103;21600000
0,9178;27100000
0,9253;25700000
0,9329;22900000
0,9404;25400000
0,9479;19500000
0,9554;22900000
0,963;19600000
0,9705;20600000
0,978;19900000
0,9856;22300000
0,9931;22200000
1,0007;16700000
1,0082;19300000
1,0157;17300000
1,0233;22800000
1,0308;20100000
1,0383;23500000
1,0459;24300000
1,0534;19300000
1,0609;18100000
1,0685;22800000
1,076;25700000
1,0836;36700000
1,0911;28200000
1,0986;18600000
1,1062;17300000
1,1137;19300000
1,1213;20400000
1,1288;21600000
1,1364;19300000
1,1439;28200000
1,1515;22100000
1,159;20200000
1,1665;21600000
1,1741;18600000
1,1816;22500000
1,1892;18900000
1,1967;18300000
1,2042;21600000
1,2118;26500000
1,2193;28200000
1,2268;21400000
1,2343;23200000
1,2419;23500000
1,2494;27000000
1,257;30800000
1,2645;25000000
1,272;31200000
1,2796;24100000
1,2871;27100000
1,2946;24000000
1,3021;26300000
1,3097;27700000
1,3172;20800000
1,3247;24100000
1,3322;22000000
1,3398;24100000
1,3473;24100000
1,3548;22600000
1,3623;23600000
1,3699;19300000
1,3774;21100000
1,3849;19100000
1,3924;24200000
1,3999;20700000
1,4075;21400000
1,415;22400000
1,4225;22600000
1,43;27900000
1,4375;26600000
1,445;28300000
1,4525;28800000
1,46;36200000
1,4676;23700000
1,4751;29000000
1,4826;22000000
1,4901;27700000
1,4976;20400000
1,5051;28300000
1,5126;21700000
1,5201;31100000
1,5276;27900000
1,5351;27900000
1,5426;24100000
1,5501;24100000
1,5576;20700000
1,5651;22700000
1,5727;17500000
1,5802;18400000
1,5877;20900000
1,5952;23600000
1,6027;24000000
1,6102;23600000
1,6177;22500000
1,6252;25500000
1,6327;24700000
1,6403;29200000
1,6478;36500000
1,6553;33400000
1,6628;30500000
1,6703;28300000
1,6778;28100000
1,6853;23300000
1,6928;27700000
1,7003;21000000
1,7078;26300000
1,7153;24800000
1,7228;30200000
1,7303;30200000
1,7378;36100000
1,7453;32700000
1,7528;29500000
1,7603;28000000
1,7678;35300000
1,7753;34300000
1,7828;29900000
1,7903;24800000
1,7978;23800000
1,8053;25000000
1,8128;20000000
1,8203;24000000
1,8278;25300000
1,8353;27800000
1,8428;25300000
1,8503;31600000
1,8578;31400000
1,8653;36700000
